GMLId;ParentGMLId;Latitude;Longitude;X-coordinate;Y-coordinate;LOD;Year of construction;Year of refurbishment;Refurbishment Variant;ALKIS code;PrimaryUsageZoneType;PrimaryUsageZoneArea;SecondaryUsageZoneType;SecondaryUsageZoneArea;BuildingType;Footprint area;Total wall thermal area above ground;Total wall thermal area below ground;Total outwall area;Total sharedwall area;Total roof area;Gross volume;Is Gross volume approximated?;Heated volume;Ridge/mean Height;Eaves/mean Height;Storey number;Average Storey Height;Number of households;Number of occupants;Attic Heating;Basement Heating;Basement ceiling height above ground;Surface area to volume ratio;Heated area;Mean Uvalue;Specific domestic hot water demand;Specific space heating demand;Total Yearly Heat+DHW demand;January Heating Demand;February Heating Demand;March Heating Demand;April Heating Demand;May Heating Demand;June Heating Demand;July Heating Demand;August Heating Demand;September Heating Demand;October Heating Demand;November Heating Demand;December Heating Demand
[-];[-];[°];[°];[?];[?];LOD;[YYYY];[YYYY];[-];[-];[-];[m²];[-];[m²];[-];[m²];[m²];[m²];[m²];[m²];[m²];[m³];[0/1];[m³];[m];[m];[-];[m];[-];[-];[-];[-];[m];[m⁻¹];[m²];[W/(m²·K)];[kWh/(m²·a)];[kWh/(m²·a)];[kWh/a];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh];[kWh]
DEBE3D04YY500009XJ;;52,52297;13,30639;385096,52;5820554,94;LOD2;2013;;Original;1010;residential;1737,0;none;0,0;HH;232,0;1169,1;0,0;1172,0;271,3;232,0;5448,9;false;5428,0;23,5;23,49;9;2,6;32;44;NO_ROOM;NOT_HEATED;0,1;0,300;1737,0;1,02;15,8;68,8;147081;26514;21873;16206;4250;296;2;0;0;425;8491;17580;23931
DEBE3D04YY50000OtW;;52,52475;13,30878;385263,73;5820749,23;LOD2;1900;;Original;1010;residential;1025,9;none;0,0;MFH;213,7;654,2;0,0;679,5;320,6;213,7;3365,9;false;3206,1;15,7;15,75;5;3,0;13;24;NO_ROOM;NOT_HEATED;0,7;0,329;1025,9;1,67;15,8;104,0;122968;24157;19688;14462;3946;248;0;0;0;195;6751;15581;21688
DEBE3D04YY50000BEo;;52,52266;13,30642;385097,81;5820520,21;LOD2;2013;;Original;1010;residential;1775,2;none;0,0;HH;237,1;906,4;0,0;906,4;546,0;237,1;5550,1;false;5547,4;23,4;23,41;9;2,6;33;55;NO_ROOM;NOT_HEATED;0,0;0,249;1775,2;0,98;15,8;57,9;130966;22837;18915;14060;3591;235;1;0;0;312;7217;15101;20579
DEBE3D04YY500006P0;;52,52235;13,30645;385099,07;5820485,47;LOD2;2013;;Original;1010;residential;1784,8;none;0,0;HH;241,4;896,2;0,0;896,2;548,7;241,4;5577,3;false;5577,3;23,1;23,10;9;2,6;33;46;NO_ROOM;NO_ROOM;0,0;0,247;1784,8;0,96;15,8;57,2;130331;22666;18776;13960;3562;230;1;0;0;306;7155;14982;20422
DEBE3D04YY500008uA;;52,52512;13,30644;385105,55;5820794,43;LOD2;1900;;Original;1010;residential;1654,8;none;0,0;GMH;307,3;1298,7;0,0;1370,7;0,0;307,3;5478,7;false;5171,3;17,8;17,83;6;2,8;27;45;NO_ROOM;NOT_HEATED;1,0;0,362;1654,8;1,67;15,8;109,1;206715;42127;33999;23367;4496;169;0;0;0;183;11002;27182;37978
DEBE3D04YY50000Fou;;52,52245;13,31382;385599,35;5820485,71;LOD2;2013;;Original;2120;industry;40,3;none;0,0;EFH;49,7;82,6;0,0;109,3;0,0;51,1;190,5;false;126,0;4,1;3,53;1;2,5;0;0;NOT_HEATED;NOT_HEATED;1,0;1,102;40,3;0,39;32,9;40,2;2944;498;341;121;4;0;0;0;0;0;19;215;421
DEBE3D04YY50000EkF;;52,52654;13,30812;385223,36;5820949,25;LOD2;1900;;Original;2120;industry;371,9;none;0,0;RH;225,3;277,1;0,0;277,1;56,9;225,6;1162,2;false;1162,2;5,4;5,41;2;2,7;0;0;NO_ROOM;NO_ROOM;0,0;0,626;371,9;1,16;32,9;70,0;38254;6982;5504;3134;185;0;0;0;0;0;622;3636;5970
DEBE3D04YY500009Rh;;52,52148;13,30819;385215,32;5820386,57;LOD2;2013;;Original;2111;industry;38,5;none;0,0;RH;47,2;54,9;0,0;71,1;20,2;47,2;156,0;false;120,4;3,3;3,30;1;2,6;0;0;NO_ROOM;NOT_HEATED;0,8;1,062;38,5;0,40;32,9;37,6;2714;431;311;130;6;0;0;0;0;0;19;189;361
DEBE3D04YY500004k1;;52,52393;13,30954;385313,27;5820656,77;LOD2;1955;;Original;1010;residential;2523,6;none;0,0;GMH;409,9;1444,7;0,0;1506,8;225,3;577,9;8266,8;false;7886,4;22,9;17,32;8;2,8;40;68;HEATED;NOT_HEATED;0,9;0,302;2523,6;1,37;15,8;86,3;257695;48869;40034;29022;7263;587;3;0;0;674;14824;32280;44165
DEBE3D04YY500007pM;;52,52476;13,30907;385283,53;5820749,76;LOD2;1900;;Original;1010;residential;1700,1;none;0,0;HH;249,3;1210,4;0,0;1240,3;164,1;288,8;5487,3;false;5312,8;23,2;19,15;9;2,5;31;56;HEATED;NOT_HEATED;0,7;0,324;1700,1;1,51;15,8;97,4;192528;37331;30435;22172;5955;538;2;0;0;531;10839;24240;33556
DEBE3D04YY50000K6K;;52,52371;13,31286;385537,50;5820626,51;LOD2;1925;;Original;2120;industry;404,0;none;0,0;EFH;157,2;404,3;0,0;404,3;25,7;157,2;1262,5;false;1262,5;8,0;8,03;3;2,7;0;0;NO_ROOM;NO_ROOM;0,0;0,569;404,0;1,41;32,9;72,0;42376;7976;6192;3397;198;0;0;0;0;0;581;3984;6774
DEBE3D04YY50000ABv;;52,52684;13,30965;385327,99;5820980,03;LOD2;1900;;Original;2523;industry;319,4;none;0,0;EFH;171,5;250,8;0,0;250,8;0,0;176,0;875,6;false;738,3;5,8;4,23;2;2,1;0;0;NOT_HEATED;NO_ROOM;0,0;0,683;319,4;1,25;32,9;67,6;32100;5923;4583;2454;121;0;0;0;0;0;444;3012;5068
