======================== Summary ========================

Excluded 6 buildings from processing (reason: Unknown ALKIS code: 2520)
Excluded 2 buildings from processing (reason: Unknown ALKIS code: 2600)
Excluded 2 buildings from processing (reason: Unknown ALKIS code: 2621)
Excluded 35 buildings from processing (reason: Unknown ALKIS code: 1610)
Excluded 192 buildings from processing (reason: Missing year of construction)
Excluded 8 buildings from processing (reason: Building seems to be too low and has 0 storey.)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2083)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 9998)
Excluded 6 buildings from processing (reason: Unknown ALKIS code: 2460)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2000)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2010)
Excluded 12 buildings from processing (reason: Unknown ALKIS code: 2142)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 1000)
Excluded 2 buildings from processing (reason: Unknown ALKIS code: 2310)
Excluded 4 buildings from processing (reason: Unknown ALKIS code: 2200)
Excluded 4 buildings from processing (reason: Unknown ALKIS code: 2100)


================ Excluded buildings lists ===============

Excluded 6 buildings from processing (reason: Unknown ALKIS code: 2520)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50000ODE;4980,20;242,48;385854,69000;5820013,83350;-
DEBE3D04YY50000PwY;233,30;70,95;385983,69900;5820390,89400;-
DEBE3D04YY500008w4;140,99;40,27;385398,40400;5820071,73100;-
DEBE3D04YY50002bah;30,31;11,23;385931,67850;5820233,75950;-
DEBE3D01YYK0002TdQ;33,56;11,79;385798,02250;5820797,54950;-
DEBE3DATKB100008Dk;1021,01;0,00;385960,93650;5820141,96100;-
DEBE3DATKB100008UM;303,16;0,00;385586,65150;5820469,88350;-
DEBE3D04YY50002bbK;78,98;17,25;385059,15200;5820901,61900;-
DEBE3D04YY50002bZ4;19,84;20,73;385672,07100;5820468,90250;-
DEBE3D04YY50000O4o;3979,53;160,63;385666,66400;5820280,71700;-
DEBE3DATKB100008VL;355,14;0,00;385474,74400;5820295,39400;-
DEBE3D04YY50002cCT;47,90;19,95;385413,08150;5820082,62550;-
DEBE3D04YY50000Fqq;1602,98;85,80;385873,93750;5820083,94500;-
DEBE3D04YY50000AW2;5964,17;365,68;385816,98350;5820118,57000;-
DEBE3D04YY50002bbi;209,26;75,47;385011,46400;5820059,43000;-
DEBE3D04YY50000Ixt;281,26;108,00;385129,13750;5820054,68350;-
DEBE3D04YY50002ceM;6,58;4,67;385390,37300;5820106,05350;-
DEBE3D01YYK0003VV6;71,62;24,06;385768,41650;5820961,44300;-
DEBE3D04YY50002cTy;21,40;5,54;385536,13500;5820155,75850;-
DEBE3D04YY50002cDK;198,79;15,12;385849,66650;5820138,54050;-
DEBE3D04YY500009gU;324,56;66,34;385459,16500;5820135,23500;-
DEBE3D04YY50002cRr;253,52;91,18;385025,32350;5820090,98000;-
DEBE3D04YY500002k7;13438,99;579,47;385612,75600;5820036,74200;-
DEBE3D04YY50000HuN;3543,01;224,31;385870,40400;5820135,11650;-
DEBE3D00YY2d0000s6;2654,45;244,63;385984,11900;5820910,15450;-
DEBE3D04YY500002k5;7970,96;427,46;385712,72150;5820151,53100;-
