======================== Summary ========================

Excluded 984 buildings from processing (reason: Missing year of construction)


================ Excluded buildings lists ===============

Excluded 984 buildings from processing (reason: Missing year of construction)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
DEBE3D04YY50000FQS;21542,44;867,34;384529,16450;5820677,36800;-
DEBE04YY500003Pf_002;61,33;3,09;384842,82300;5820973,34100;-
DEBE3Dha9AMItFEU;2721,65;130,28;384868,50150;5820029,12800;-
DEBE3DPfHylOnPmj;946,53;111,38;384870,72300;5820900,75000;-
DEBE04YY5000016D_001;688,53;29,43;384708,05900;5820229,23950;-
DEBE04YY5000016D_002;2,21;0,74;384713,95000;5820225,20950;-
DEBE3DAx6QDA6P0V;4264,44;228,48;384998,73500;5820718,72950;-
DEBE3DZbpFspmW5J;805,05;42,81;384451,16200;5820077,20450;-
DEBE3DgD6Tv7k6D1;946,46;44,95;384692,28100;5820706,33050;-
UUID_27abeeb7-da7e-4a06-8026-fa5855273fda;3454,43;203,59;384154,50150;5820120,84250;-
UUID_bc954f8a-e20b-4f49-88c7-1f62f2fb1de0;69349,94;4560,09;384366,91700;5820313,23250;-
DEBE04YY50000Peo_02;104,16;6,42;384778,05600;5820840,31850;-
DEBE3DWtOPums9e2;5143,19;237,87;384857,39300;5820814,69150;-
DEBE3DoGLM3LWxoS;1484,00;64,21;384848,02550;5820725,15500;-
DEBE3DfQSSGSBraz;3153,50;198,20;384827,12300;5820137,64650;-
DEBE3DwERcC6Wilv;3349,65;142,98;385017,26950;5820837,69100;-
DEBE3D04YY50000GtN;3293,14;194,10;384906,83150;5820241,41750;-
DEBE3DATKB100008VE;93,93;0,00;384406,71400;5820676,18150;-
DEBE3DC8kiVUk3jy;853,42;40,44;384737,07050;5820945,19350;-
DEBE3Dw6ZwSnAhYs;4259,12;170,99;384621,57250;5820752,30300;-
DEBE3DLJyFsd5oTu;5062,58;246,54;384732,07600;5820819,90600;-
DEBE3DQzsUeRC4LJ;7555,64;336,91;384594,15450;5820154,33500;-
DEBE3DPcFE8lkbYV;3813,75;174,09;385022,07850;5820812,81100;-
DEBE3D04YY50000Lev;4307,43;196,17;384551,46000;5820668,47900;-
DEBE3DY2gOUgPhZq;2772,69;387,60;384707,31600;5820887,00250;-
DEBE3DRsxmK7vGkM;5006,00;234,55;384706,05750;5820799,93200;-
DEBE3DuUtczs60VP;1772,33;87,92;384716,32900;5820704,20500;-
DEBE3D04YY50000Lg8;361,78;108,75;384816,81600;5820558,48950;-
DEBE3D04YY50002ceG;405,32;24,82;384591,25900;5820709,38200;-
DEBE3DRI47kGRwCg;5134,59;241,81;384823,96350;5820767,31300;-
DEBE04YY500006zT_001;522,41;28,33;384967,97100;5820723,90350;-
DEBE3Dxvrpn6kedC;970,69;42,20;384573,26400;5820909,48700;-
DEBE3DGPx0qP2Nfb;4354,23;174,83;384555,50700;5820118,85650;-
DEBE3Dtss9GCZIuD;3280,07;122,85;384624,98750;5820768,57150;-
DEBE3DuGWhFP1L1V;265,13;28,93;384460,26250;5820136,23850;-
DEBE04YY50000Peo_01;92,93;5,72;384775,32250;5820831,28950;-
DEBE3DS2R3fVdCqk;1210,14;52,57;384954,92550;5820254,53850;-
DEBE3DUroIEPtE9R;2492,11;119,99;384560,70000;5820623,40900;-
DEBE3DXLL8BAiBRR;1175,22;61,69;384574,96100;5820155,70200;-
DEBE3DThC10JE9Bv;2358,66;100,50;384546,95150;5820650,97550;-
DEBE3DyyBdBqFMDN;991,47;51,88;384743,31950;5820205,09700;-
DEBE3Dwpepm2UrAi;862,05;48,08;384539,43500;5820632,16800;-
DEBE3DukgCRQWKI2;575,18;59,85;384884,87800;5820117,18250;-
DEBE3Dh8eiYlMtaP;771,12;34,76;384758,80400;5820644,89550;-
DEBE3D04YY500001ZD;4243,88;304,30;384431,82050;5820104,65950;-
DEBE3DoIc6DSdbgH;41663,68;3609,82;385006,89350;5820618,58050;-
DEBE3D04YY500004uU;1422,84;474,92;384592,75750;5820137,68650;-
DEBE3DWFglQpZD2L;1989,99;112,39;384570,49850;5820724,43300;-
DEBE04YY500004jI_02;183,97;48,81;384488,86650;5820117,18300;-
DEBE3D04YY50000HgO;4948,80;218,39;384705,60600;5820092,82200;-
DEBE3Dv1l92bmK84;426,77;33,64;384712,82100;5820864,01400;-
DEBE3DErYgSQI2VM;4629,44;215,63;384798,64000;5820535,60500;-
DEBE3D04YY50000BlO;18308,13;795,41;384964,76750;5820775,82050;-
DEBE3D04YY50000BWY;4800,09;213,23;384672,11350;5820300,55500;-
DEBE3DVcuOsVZ6P9;788,93;86,61;384719,56650;5820242,69300;-
DEBE3DIfPvZsC7Z0;4835,77;210,95;384742,58800;5820255,83050;-
DEBE04YY50000AQQ_01;42,00;10,12;384160,08650;5820128,57700;-
DEBE3DLrVSSVHHpl;2210,60;90,78;384823,73150;5820679,36550;-
DEBE3DpryWIimVzX;4901,11;222,81;384689,21550;5820804,62250;-
DEBE3DNjXbtARvI4;2482,16;251,60;384611,65150;5820793,24850;-
DEBE3DUU3qdnyI6z;5967,49;240,01;384520,51200;5820626,87950;-
DEBE3DC1SXPnlsR3;1805,17;79,80;384917,77850;5820938,05150;-
DEBE3D04YY50002cFP;170,32;62,15;384835,39600;5820580,38750;-
DEBE04YY50000PyU_01;1098,93;73,05;384739,07700;5820954,33000;-
DEBE3DpqN6lm4qbI;466,20;107,31;384891,58750;5820875,91250;-
DEBE3D04YY50000IeG;8805,07;400,43;384599,87250;5820119,04100;-
DEBE3DEao9jDsY89;2396,96;124,22;384821,56450;5820052,76050;-
DEBE3D04YY50000Jei;5164,93;235,54;384545,61400;5820554,06000;-
DEBE3D04YY500001jd;2435,21;297,54;384451,78350;5820134,20500;-
DEBE3DCyxbsfcyvc;3123,32;212,88;384208,16850;5820089,47100;-
DEBE3DUMdiQUkYBt;643,53;31,58;384603,54300;5820107,86700;-
DEBE3Dww66KUn1nw;4691,69;205,57;384980,25350;5820293,93100;-
DEBE3DmsxtZtQEIX;6029,50;265,62;384985,66600;5820803,74000;-
DEBE3DF4a6UBaoct;2250,11;107,46;384778,74050;5820077,89100;-
