Index;Consumption [kWh/h]
1092;1689,90
1093;1689,72
1094;1689,51
1095;1689,46
1096;1689,09
1097;1688,08
1098;1687,84
1099;1687,81
1100;1687,60
1101;1687,57
1102;1687,33
1103;1687,27
1104;1687,25
1105;1687,24
1106;1687,18
1107;1687,06
1108;1686,70
1109;1686,66
1110;1686,66
1111;1686,62
1112;1686,53
1113;1686,16
1114;1685,98
1115;1685,87
1116;1685,66
1117;1685,28
1118;1684,94
1119;1684,55
1120;1684,14
1121;1684,13
1122;1683,99
1123;1683,67
1124;1682,60
1125;1682,29
1126;1682,03
1127;1681,80
1128;1681,74
1129;1681,67
1130;1681,51
1131;1681,39
1132;1681,02
1133;1680,94
1134;1680,79
1135;1680,53
1136;1680,53
1137;1680,38
1138;1679,89
1139;1679,34
1140;1679,34
1141;1678,78
1142;1678,26
1143;1677,10
1144;1677,05
1145;1676,91
1146;1676,85
1147;1676,53
1148;1676,49
1149;1674,82
1150;1673,59
1151;1673,03
1152;1673,01
1153;1672,91
1154;1672,73
1155;1672,14
1156;1671,80
1157;1671,60
1158;1671,39
1159;1670,36
1160;1669,80
1161;1669,74
1162;1669,39
1163;1669,03
1164;1668,79
1165;1668,09
1166;1667,68
1167;1666,87
1168;1666,84
1169;1665,58
1170;1664,41
1171;1663,72
1172;1663,51
1173;1663,47
1174;1663,43
1175;1660,02
1176;1657,44
1177;1656,45
1178;1655,00
1179;1652,59
1180;1652,32
1181;1648,47
1182;1644,91
1183;1642,32
1184;1640,77
1185;1638,76
1186;1638,60
1187;1637,63
1188;1636,12
1189;1635,84
1190;1635,21
1191;1635,16
1192;1634,76
1193;1633,13
1194;1629,64
1195;1629,12
1196;1628,19
1197;1627,15
1198;1626,43
1199;1625,23
1200;1624,61
1201;1623,99
1202;1621,48
1203;1621,19
1204;1620,45
1205;1619,63
1206;1618,90
1207;1618,50
1208;1618,29
1209;1617,29
1210;1615,02
1211;1612,11
1212;1611,93
1213;1611,33
1214;1610,40
1215;1609,56
1216;1608,58
1217;1608,41
1218;1605,19
1219;1604,16
1220;1602,68
1221;1602,22
1222;1601,58
1223;1601,39
1224;1600,80
1225;1598,82
1226;1598,51
1227;1596,98
1228;1595,66
1229;1594,92
1230;1594,09
1231;1593,61
1232;1592,78
1233;1591,37
1234;1591,31
1235;1590,80
1236;1590,45
1237;1588,07
1238;1586,58
1239;1586,36
1240;1586,08
1241;1583,89
1242;1583,72
1243;1582,50
1244;1581,70
1245;1579,92
1246;1578,29
1247;1576,04
1248;1575,67
1249;1575,28
1250;1572,89
1251;1572,86
1252;1572,36
1253;1572,17
1254;1571,86
1255;1571,78
1256;1571,68
1257;1571,32
1258;1571,08
1259;1570,39
1260;1570,13
1261;1568,29
1262;1567,78
1263;1567,52
1264;1564,33
1265;1563,33
1266;1563,32
1267;1563,31
1268;1562,51
1269;1561,90
1270;1561,60
1271;1560,61
1272;1559,87
1273;1559,85
1274;1559,77
1275;1559,61
1276;1558,25
1277;1557,51
1278;1556,75
1279;1556,40
1280;1555,81
1281;1555,64
1282;1555,06
1283;1554,57
1284;1554,47
1285;1554,37
1286;1553,52
1287;1553,38
1288;1552,70
1289;1552,68
1290;1552,33
1291;1551,50
1292;1550,90
1293;1550,06
1294;1549,84
1295;1549,48
1296;1549,47
1297;1549,17
1298;1549,09
1299;1548,14
1300;1547,70
1301;1547,50
1302;1547,47
1303;1547,44
1304;1547,43
1305;1547,35
1306;1547,22
1307;1547,21
1308;1547,01
1309;1546,45
1310;1545,61
1311;1545,49
1312;1545,25
1313;1544,75
1314;1544,63
1315;1544,43
1316;1543,62
1317;1543,34
1318;1543,13
1319;1542,87
1320;1542,85
1321;1541,76
1322;1540,79
1323;1540,41
1324;1539,35
1325;1539,25
1326;1538,31
1327;1538,09
1328;1537,62
1329;1537,12
1330;1536,97
1331;1536,68
1332;1535,42
1333;1535,12
1334;1534,58
1335;1534,53
1336;1534,43
1337;1533,96
1338;1533,31
1339;1533,25
