Index;Consumption [kWh/h]
1433;2665,84
1434;2665,81
1435;2665,70
1436;2665,26
1437;2665,14
1438;2665,01
1439;2664,84
1440;2664,80
1441;2664,69
1442;2664,69
1443;2664,55
1444;2664,52
1445;2664,43
1446;2664,28
1447;2663,61
1448;2662,85
1449;2662,55
1450;2662,12
1451;2662,10
1452;2661,91
1453;2661,84
1454;2661,77
1455;2661,45
1456;2661,00
1457;2660,99
1458;2660,85
1459;2660,82
1460;2660,67
1461;2660,48
1462;2660,30
1463;2660,24
1464;2660,17
1465;2659,78
1466;2659,36
1467;2658,90
1468;2658,50
1469;2657,76
1470;2657,49
1471;2657,30
1472;2657,21
1473;2656,76
1474;2656,65
1475;2656,34
1476;2656,22
1477;2655,84
1478;2655,67
1479;2655,45
1480;2655,37
1481;2655,12
1482;2655,01
1483;2654,51
1484;2654,22
1485;2654,16
1486;2654,10
1487;2652,57
1488;2651,76
1489;2651,63
1490;2650,96
1491;2650,90
1492;2650,89
1493;2650,76
1494;2650,25
1495;2649,73
1496;2649,68
1497;2649,57
1498;2648,99
1499;2647,63
1500;2647,46
1501;2645,60
1502;2645,42
1503;2644,92
1504;2644,69
1505;2644,64
1506;2644,53
1507;2644,24
1508;2644,23
1509;2643,02
1510;2642,77
1511;2642,43
1512;2641,96
1513;2641,94
1514;2641,77
1515;2641,29
1516;2640,98
1517;2640,90
1518;2640,80
1519;2640,11
1520;2639,89
1521;2639,24
1522;2639,11
1523;2638,86
1524;2638,24
1525;2637,84
1526;2637,80
1527;2636,62
1528;2636,26
1529;2636,02
1530;2635,56
1531;2635,16
1532;2634,96
1533;2634,64
1534;2634,28
1535;2634,24
1536;2633,74
1537;2633,50
1538;2633,31
1539;2632,30
1540;2631,20
1541;2631,03
1542;2630,91
1543;2630,17
1544;2630,08
1545;2629,83
1546;2629,32
1547;2628,69
1548;2628,14
1549;2627,56
1550;2626,99
1551;2626,20
1552;2626,11
1553;2625,64
1554;2624,92
1555;2624,91
1556;2624,86
1557;2624,85
1558;2623,02
1559;2622,25
1560;2622,14
1561;2621,35
1562;2620,53
1563;2619,71
1564;2619,62
1565;2618,08
1566;2616,57
1567;2616,43
1568;2616,31
1569;2614,20
1570;2613,98
1571;2612,79
1572;2611,98
1573;2611,10
1574;2609,56
1575;2608,47
1576;2607,94
1577;2607,31
1578;2606,45
1579;2605,60
1580;2605,22
1581;2603,80
1582;2602,43
1583;2602,30
1584;2600,02
1585;2599,27
1586;2598,97
1587;2598,33
1588;2598,07
1589;2597,59
1590;2596,69
1591;2595,74
1592;2595,56
1593;2595,49
1594;2595,29
1595;2595,22
1596;2594,38
1597;2592,99
1598;2592,65
1599;2592,39
1600;2592,33
1601;2591,86
1602;2591,04
1603;2590,90
1604;2590,67
1605;2590,61
1606;2590,60
1607;2590,43
1608;2588,97
1609;2588,95
1610;2588,53
1611;2588,45
1612;2588,30
1613;2587,92
1614;2587,84
1615;2587,64
1616;2586,99
1617;2586,67
1618;2586,62
1619;2586,59
1620;2585,64
1621;2585,22
1622;2585,18
1623;2584,85
1624;2584,17
1625;2584,12
1626;2583,15
1627;2583,13
1628;2582,05
1629;2582,04
1630;2581,48
1631;2581,41
1632;2581,40
1633;2580,82
1634;2580,75
1635;2580,57
1636;2580,46
1637;2580,27
1638;2579,65
1639;2579,59
1640;2579,55
1641;2579,37
1642;2579,10
1643;2579,00
1644;2578,59
1645;2578,49
1646;2578,45
1647;2578,17
1648;2578,17
1649;2577,90
1650;2577,86
1651;2577,70
1652;2577,33
1653;2576,98
1654;2576,86
1655;2576,62
1656;2576,04
1657;2575,91
1658;2575,70
1659;2575,31
1660;2575,17
1661;2575,08
1662;2574,63
1663;2574,61
1664;2574,43
1665;2574,37
1666;2574,14
1667;2574,12
1668;2574,10
1669;2574,03
1670;2574,02
1671;2573,93
1672;2573,75
1673;2573,65
1674;2573,52
1675;2573,43
1676;2572,53
1677;2572,47
1678;2572,17
1679;2571,99
1680;2571,32
1681;2570,99
1682;2570,68
1683;2570,53
1684;2570,47
1685;2570,28
1686;2570,14
1687;2569,89
1688;2569,28
1689;2569,19
1690;2569,19
1691;2569,17
1692;2569,09
1693;2568,83
1694;2568,76
1695;2568,67
1696;2568,46
1697;2568,18
1698;2568,10
1699;2567,93
1700;2567,78
1701;2567,69
1702;2567,37
1703;2567,30
1704;2567,01
1705;2566,78
1706;2566,73
1707;2566,68
1708;2566,66
1709;2566,45
1710;2566,33
1711;2566,28
1712;2566,16
1713;2566,08
1714;2565,91
1715;2565,82
1716;2565,78
1717;2565,75
1718;2565,56
1719;2565,32
1720;2565,29
1721;2565,27
1722;2565,26
1723;2564,80
1724;2564,68
1725;2564,62
1726;2564,28
1727;2564,16
1728;2563,88
1729;2563,33
1730;2563,28
1731;2563,18
1732;2563,11
1733;2563,05
1734;2563,00
1735;2562,95
1736;2562,54
1737;2562,48
1738;2562,15
1739;2562,08
1740;2562,07
1741;2562,02
1742;2561,87
1743;2561,76
1744;2561,73
1745;2561,60
1746;2561,58
1747;2561,40
1748;2561,12
1749;2560,98
1750;2560,90
1751;2560,63
1752;2560,60
1753;2560,47
1754;2560,43
1755;2560,29
1756;2560,22
1757;2560,10
1758;2560,05
1759;2559,86
1760;2559,63
1761;2559,47
1762;2559,30
1763;2559,16
1764;2559,10
1765;2559,09
1766;2558,68
1767;2558,51
1768;2558,48
1769;2558,34
1770;2558,31
1771;2558,23
1772;2558,16
1773;2558,15
1774;2558,03
1775;2557,86
1776;2557,83
1777;2557,70
1778;2557,38
1779;2556,99
1780;2556,95
1781;2556,47
1782;2556,39
1783;2555,92
1784;2555,88
1785;2555,69
1786;2555,57
1787;2555,46
