======================== Summary ========================

Excluded 7 buildings from processing (reason: Unknown ALKIS code: 1610)
Excluded 6 buildings from processing (reason: Building seems to be too low and has 0 storey.)
Excluded 4 buildings from processing (reason: Unknown ALKIS code: 3060)
Excluded 1 buildings from processing (reason: Heated area is too small)
Excluded 8 buildings from processing (reason: Unknown ALKIS code: 2460)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 3020)
Excluded 521 buildings from processing (reason: Missing year of construction)
Excluded 1 buildings from processing (reason: Unknown ALKIS code: 2054)
Excluded 3 buildings from processing (reason: Unknown ALKIS code: 1120)


================ Excluded buildings lists ===============

Excluded 7 buildings from processing (reason: Unknown ALKIS code: 1610)

# GML ID [-];Volume [m3];Footprint area [m2];X [m];Y [m];Original ID
UUID_b230a276-6ea1-426f-882c-8353324da621;4433,86;214,89;384881,51700;5820317,21900;-
DEBE3D04YY50000C1Y;2773,02;114,24;384953,13050;5820314,53700;-
DEBE3DAiHuOOI1hn;1412,57;57,15;384718,42500;5820304,30250;-
DEBE3D04YY50002cAU;2459,66;179,26;384645,04700;5820273,53150;-
DEBE3D04YY50000FW2;188,43;51,27;384866,40500;5820928,44000;-
DEBE3DqODewsfzeG;6987,41;320,03;384162,27300;5820062,49600;-
DEBE3D04YY50000HtE;269,31;84,23;384864,28500;5820161,24650;-
DEBE3D04YY500001Lj;57,06;30,26;384849,38950;5820160,28750;-
DEBE04YY50000Qxi_01;4969,99;198,08;384688,72350;5820024,25750;-
DEBE04YY500009Fp_01;160,62;10,67;384202,62850;5820083,16850;-
DEBE3DsrisBUsXEq;381,49;42,32;384579,76650;5820124,09550;-
DEBE04YY500003Aj_02;448,75;26,31;384522,41100;5820072,05750;-
DEBE3DRyLQctJooD;1829,07;81,10;384277,90750;5820130,13450;-
DEBE3Dd0RoFEyJRg;2930,25;125,95;384857,01400;5820921,26800;-
DEBE3DOqsQPzbNIE;14257,59;734,62;384127,15550;5820313,74500;-
DEBE04YY500003Aj_01;628,84;63,44;384491,53350;5820081,05600;-
DEBE3D04YY50000G4a;1698,27;129,74;384933,66450;5820098,21750;-
UUID_6b49ed59-6063-496e-a297-acf4d4992f75;2203,49;224,21;384435,25100;5820015,87250;-
DEBE3Dr7CJdJLb26;5340,93;228,58;384798,37800;5820220,26650;-
DEBE3DZGmM0BwwZp;4820,37;292,84;384881,78750;5820142,54400;-
DEBE3D04YY50002cJ1;2099,28;265,70;384031,50400;5820173,72050;-
