Index;Consumption [kWh/h]
913;9302,73
914;9302,49
915;9301,14
916;9301,11
917;9300,45
918;9298,42
919;9298,08
920;9296,77
921;9296,51
922;9296,00
923;9295,99
924;9294,16
925;9290,98
926;9290,47
927;9290,23
928;9290,16
929;9290,09
930;9289,91
931;9288,17
932;9286,64
933;9286,63
934;9286,49
935;9286,38
936;9285,94
937;9283,25
938;9283,14
939;9282,80
940;9282,16
941;9281,24
942;9280,73
943;9278,52
944;9277,92
945;9277,15
946;9276,51
947;9275,25
948;9273,34
949;9273,15
950;9272,63
951;9272,53
952;9271,82
953;9271,55
954;9271,18
955;9270,35
956;9269,33
957;9267,37
958;9267,24
959;9267,09
960;9266,47
961;9265,84
962;9265,48
963;9265,06
964;9264,23
965;9264,22
966;9263,72
967;9263,24
968;9263,24
969;9263,23
970;9263,00
971;9262,23
972;9261,04
973;9258,65
974;9258,23
975;9257,41
976;9255,85
977;9255,29
978;9255,28
979;9253,36
980;9251,88
981;9250,74
982;9250,17
983;9249,67
984;9249,29
985;9249,28
986;9248,26
987;9247,88
988;9247,18
989;9246,87
990;9246,00
991;9245,87
992;9245,54
993;9245,20
994;9243,79
995;9243,25
996;9243,19
997;9243,05
998;9242,77
999;9241,23
1000;9241,16
1001;9238,87
1002;9238,60
1003;9238,08
1004;9236,20
1005;9235,96
1006;9235,38
1007;9235,21
1008;9232,61
1009;9232,42
1010;9232,25
1011;9231,58
1012;9230,68
1013;9230,44
1014;9229,13
1015;9228,93
1016;9228,53
1017;9228,05
1018;9228,04
1019;9227,12
1020;9225,69
1021;9224,80
1022;9224,48
1023;9223,02
1024;9222,63
1025;9222,23
1026;9221,59
1027;9220,60
1028;9219,44
1029;9218,57
1030;9217,29
1031;9216,13
1032;9214,62
1033;9214,06
1034;9212,17
1035;9206,97
1036;9205,46
1037;9204,89
1038;9204,82
1039;9203,75
1040;9200,72
1041;9200,49
1042;9199,38
1043;9196,24
1044;9195,71
1045;9194,63
1046;9194,58
1047;9194,46
1048;9194,39
1049;9191,81
1050;9191,68
1051;9191,10
1052;9191,00
1053;9189,84
1054;9189,03
1055;9188,29
1056;9188,08
1057;9187,59
1058;9187,42
1059;9187,29
1060;9185,76
1061;9185,34
1062;9184,33
1063;9183,56
1064;9183,34
1065;9182,56
1066;9181,25
1067;9180,30
1068;9177,25
1069;9174,93
1070;9174,80
1071;9174,12
1072;9172,70
1073;9171,90
1074;9171,81
1075;9171,42
1076;9170,60
1077;9169,51
1078;9168,38
1079;9168,09
1080;9167,56
1081;9167,45
1082;9166,25
1083;9163,17
1084;9162,97
1085;9162,66
1086;9162,60
1087;9161,07
1088;9159,14
1089;9157,86
1090;9157,75
1091;9157,14
1092;9156,84
1093;9156,68
1094;9156,58
1095;9155,74
1096;9155,70
1097;9155,46
1098;9155,18
1099;9155,01
1100;9154,24
1101;9153,35
1102;9153,34
1103;9153,30
1104;9153,24
1105;9152,31
1106;9150,94
1107;9150,64
1108;9150,38
1109;9150,25
1110;9149,32
1111;9149,30
1112;9149,05
1113;9148,42
1114;9148,41
1115;9147,45
1116;9146,51
1117;9146,51
1118;9146,18
1119;9143,65
1120;9140,40
1121;9140,31
1122;9138,99
1123;9138,20
1124;9136,50
1125;9135,95
1126;9135,59
1127;9135,56
1128;9135,53
1129;9135,31
1130;9134,31
1131;9132,77
1132;9129,84
1133;9129,08
1134;9128,78
1135;9128,29
1136;9127,85
1137;9127,41
1138;9126,61
1139;9126,56
1140;9126,46
1141;9126,05
1142;9125,70
1143;9123,10
1144;9122,92
1145;9122,85
1146;9122,85
1147;9122,64
1148;9122,08
1149;9118,78
1150;9117,43
1151;9117,12
1152;9116,06
1153;9112,75
1154;9112,25
1155;9111,37
1156;9110,92
1157;9110,25
1158;9108,81
1159;9106,97
1160;9105,63
1161;9103,21
1162;9103,01
1163;9101,79
1164;9101,45
1165;9100,85
1166;9092,95
1167;9091,55
1168;9086,76
1169;9078,24
1170;9077,25
1171;9074,75
1172;9069,85
1173;9060,00
1174;9057,30
1175;9057,25
1176;9056,34
1177;9053,95
1178;9053,93
1179;9052,01
1180;9049,99
1181;9043,84
1182;9027,69
1183;8829,97
1184;8803,26
1185;8795,47
