blknr,bez,bezname,plr,blktypname,ewk,area,datum,ueberw_dek,freistehen,doppelhaus,gereihtes,anderertyp,x_bis_1900,x1901_1910,x1911_1920,x1921_1930,x1931_1940,x1941_1950,x1951_1960,x1961_1970,x1971_1980,x1981_1990,x1991_2000,x2001_2010,x2011_2015,ew2015,typ,typklar,dh_consumption_mwh2022,dh_consumption_mwh_2021,dh_consumption_mwh_2020,blknr_2,bez_2,bezname_2,plr_2,blktypna_1,ewk_2,area_2,datum_2,fid_x,el_consumption_mwh_2022,el_excluded_2022,el_consumption_mwh_2020,el_excluded_2020,el_consumption_mwh_2021,el_excluded_2021,fid_y,gas_consumption_mwh_2022,gas_excluded_2022,gas_consumption_mwh_2021,gas_excluded_2021,gas_consumption_mwh_2020,gas_excluded_2020,ew2020,ew2021,ew2022
20051,4,Charlottenburg-Wilmersdorf,4300518,Block,100-999 Einwohner,21565.6328125,1997/08/20 00:00:00.000,bis 1900,1.0,,28.0,5.0,8.0,5.0,7.0,1.0,,,5.0,5.0,,,3.0,,,937.0,2.0,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig",2526.905,2886.642,2697.878,20051,4,Charlottenburg-Wilmersdorf,4300518,Block,100-999 Einwohner,21565.6328125,1997/08/20 00:00:00.000,30,1284.086,,1370.755,,1327.962,,31,1839.858,,2115.573,,1810.827,,938.0,895.0,910
20052,4,Charlottenburg-Wilmersdorf,4300518,Block,100-999 Einwohner,10858.265625,1994/06/01 00:00:00.000,1901-1910,,,20.0,1.0,1.0,17.0,3.0,,,,,,,,,,,490.0,2.0,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig",1787.604,1846.65,1750.035,20052,4,Charlottenburg-Wilmersdorf,4300518,Block,100-999 Einwohner,10858.265625,1994/06/01 00:00:00.000,31,671.322,,769.994,,742.087,,32,897.919,,960.467,,857.5739999999998,,488.0,488.0,473
20053,4,Charlottenburg-Wilmersdorf,4300518,Block,100-999 Einwohner,10324.3076171875,1994/06/01 00:00:00.000,gemischte Baualtersklasse,2.0,,12.0,1.0,3.0,4.0,4.0,2.0,,,1.0,1.0,,,,,,443.0,2.0,"Geschlossene Blockbebauung, Hinterhof (1870er-1918), 5-geschossig",1317.288,1358.742,1364.706,20053,4,Charlottenburg-Wilmersdorf,4300518,Block,100-999 Einwohner,10324.3076171875,1994/06/01 00:00:00.000,32,567.885,,573.613,,580.686,,33,1089.119,,1247.674,,1094.032,,469.0,435.0,446
20054,4,Charlottenburg-Wilmersdorf,4300518,Block,unbewohnt,8621.1591796875,1994/06/01 00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,20054,4,Charlottenburg-Wilmersdorf,4300518,Block,unbewohnt,8621.1591796875,1994/06/01 00:00:00.000,33,,Keine Angabe zum Verbrauch verfügbar,,Keine Angabe zum Verbrauch verfügbar,,Keine Angabe zum Verbrauch verfügbar,34,,Keine Angabe zum Verbrauch verfügbar,,Keine Angabe zum Verbrauch verfügbar,,,0.0,,0
20055,4,Charlottenburg-Wilmersdorf,4300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000,1901-1910,,,14.0,2.0,3.0,7.0,1.0,,,,3.0,,1.0,1.0,,,,479.0,13.0,Neubau-Schule (nach 1945),3427.422,3848.328,3368.991,20055,4,Charlottenburg-Wilmersdorf,4300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000,34,898.815,,876.964,,887.347,,35,814.4529999999999,,919.874,,837.423,,473.0,0.0,451
20057,4,Charlottenburg-Wilmersdorf,4300518,Block,100-999 Einwohner,6223.31396484375,1994/06/01 00:00:00.000,1921-1930,,,15.0,,,,,15.0,,,,,,,,,,300.0,10.0,"Blockrandbebauung mit Großhöfen (1920er-1940er), 3–5-geschossig",1173.02,1440.947,1269.805,20057,4,Charlottenburg-Wilmersdorf,4300518,Block,100-999 Einwohner,6223.31396484375,1994/06/01 00:00:00.000,35,263.488,,267.642,,270.802,,36,4.298,,4.937,,4.277,,273.0,270.0,277
20058,4,Charlottenburg-Wilmersdorf,4300518,Block,100-999 Einwohner,5485.676757812501,1994/06/01 00:00:00.000,1921-1930,,,17.0,,,,,13.0,,3.0,1.0,,,,,,,381.0,10.0,"Blockrandbebauung mit Großhöfen (1920er-1940er), 3–5-geschossig",,,,20058,4,Charlottenburg-Wilmersdorf,4300518,Block,100-999 Einwohner,5485.676757812501,1994/06/01 00:00:00.000,36,297.397,,310.35,,311.175,,37,,Keine Angabe zum Verbrauch verfügbar,,Keine Angabe zum Verbrauch verfügbar,,,372.0,363.0,374
20059,4,Charlottenburg-Wilmersdorf,4300518,Block,100-999 Einwohner,12303.5419921875,1994/06/01 00:00:00.000,1921-1930,1.0,,13.0,1.0,,,,15.0,,,,,,,,,,211.0,10.0,"Blockrandbebauung mit Großhöfen (1920er-1940er), 3–5-geschossig",,,,20059,4,Charlottenburg-Wilmersdorf,4300518,Block,100-999 Einwohner,12303.5419921875,1994/06/01 00:00:00.000,37,236.483,,236.602,,243.521,,38,25.256,,16.551,,16.763,,206.0,215.0,216
20670,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,43202.7265625,1993/06/30 00:00:00.000,1951-1960,,,28.0,,,,,,,,28.0,,,,,,,429.0,11.0,"Freie Zeilenbebauung (1950er-1970er), mit landschaftlichem Siedlungsgrün, 3–6-geschossig",1286.863,1471.531,1206.6,20670,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,43202.7265625,1993/06/30 00:00:00.000,38,771.509,,792.68,,774.847,,39,974.638,,1786.49,,950.45,,65.0,407.0,73
20670,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,43202.7265625,1993/06/30 00:00:00.000,1921-1930,,,4.0,1.0,,,1.0,4.0,,,,,,,,,,71.0,12.0,Altbau-Schule (vor 1945),1286.863,1471.531,1206.6,20670,4,Charlottenburg-Wilmersdorf,4300517,Block,100-999 Einwohner,43202.7265625,1993/06/30 00:00:00.000,38,771.509,,792.68,,774.847,,39,974.638,,1786.49,,950.45,,65.0,407.0,73
